"d_date_id";"full_date";"date_name";"date_name_us";"date_name_eu";"day_of_week";"day_name_of_week";"day_of_month";"day_of_year";"weekday_weekend";"week_of_year";"month_name";"month_of_year";"is_last_day_of_month";"calendar_quarter";"calendar_year";"calendar_year_month";"calendar_year_qtr";"fiscal_month_of_year";"fiscal_quarter";"fiscal_year";"fiscal_year_month";"fiscal_year_qtr"
20100302;"2010-03-02";"2010/03/02";"03/02/2010";"02/03/2010";3;"Tuesday";2;61;"Weekday";9;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100303;"2010-03-03";"2010/03/03";"03/03/2010";"03/03/2010";4;"Wednesday";3;62;"Weekday";9;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100304;"2010-03-04";"2010/03/04";"03/04/2010";"04/03/2010";5;"Thursday";4;63;"Weekday";9;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100305;"2010-03-05";"2010/03/05";"03/05/2010";"05/03/2010";6;"Friday";5;64;"Weekday";9;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100306;"2010-03-06";"2010/03/06";"03/06/2010";"06/03/2010";7;"Saturday";6;65;"Weekend";9;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100307;"2010-03-07";"2010/03/07";"03/07/2010";"07/03/2010";1;"Sunday";7;66;"Weekend";9;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100308;"2010-03-08";"2010/03/08";"03/08/2010";"08/03/2010";2;"Monday";8;67;"Weekday";10;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100309;"2010-03-09";"2010/03/09";"03/09/2010";"09/03/2010";3;"Tuesday";9;68;"Weekday";10;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100310;"2010-03-10";"2010/03/10";"03/10/2010";"10/03/2010";4;"Wednesday";10;69;"Weekday";10;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100311;"2010-03-11";"2010/03/11";"03/11/2010";"11/03/2010";5;"Thursday";11;70;"Weekday";10;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100312;"2010-03-12";"2010/03/12";"03/12/2010";"12/03/2010";6;"Friday";12;71;"Weekday";10;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100313;"2010-03-13";"2010/03/13";"03/13/2010";"13/03/2010";7;"Saturday";13;72;"Weekend";10;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100314;"2010-03-14";"2010/03/14";"03/14/2010";"14/03/2010";1;"Sunday";14;73;"Weekend";10;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100315;"2010-03-15";"2010/03/15";"03/15/2010";"15/03/2010";2;"Monday";15;74;"Weekday";11;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100316;"2010-03-16";"2010/03/16";"03/16/2010";"16/03/2010";3;"Tuesday";16;75;"Weekday";11;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100317;"2010-03-17";"2010/03/17";"03/17/2010";"17/03/2010";4;"Wednesday";17;76;"Weekday";11;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100318;"2010-03-18";"2010/03/18";"03/18/2010";"18/03/2010";5;"Thursday";18;77;"Weekday";11;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100319;"2010-03-19";"2010/03/19";"03/19/2010";"19/03/2010";6;"Friday";19;78;"Weekday";11;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100320;"2010-03-20";"2010/03/20";"03/20/2010";"20/03/2010";7;"Saturday";20;79;"Weekend";11;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100321;"2010-03-21";"2010/03/21";"03/21/2010";"21/03/2010";1;"Sunday";21;80;"Weekend";11;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100322;"2010-03-22";"2010/03/22";"03/22/2010";"22/03/2010";2;"Monday";22;81;"Weekday";12;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100323;"2010-03-23";"2010/03/23";"03/23/2010";"23/03/2010";3;"Tuesday";23;82;"Weekday";12;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100324;"2010-03-24";"2010/03/24";"03/24/2010";"24/03/2010";4;"Wednesday";24;83;"Weekday";12;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100325;"2010-03-25";"2010/03/25";"03/25/2010";"25/03/2010";5;"Thursday";25;84;"Weekday";12;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100326;"2010-03-26";"2010/03/26";"03/26/2010";"26/03/2010";6;"Friday";26;85;"Weekday";12;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100327;"2010-03-27";"2010/03/27";"03/27/2010";"27/03/2010";7;"Saturday";27;86;"Weekend";12;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100328;"2010-03-28";"2010/03/28";"03/28/2010";"28/03/2010";1;"Sunday";28;87;"Weekend";12;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100329;"2010-03-29";"2010/03/29";"03/29/2010";"29/03/2010";2;"Monday";29;88;"Weekday";13;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100330;"2010-03-30";"2010/03/30";"03/30/2010";"30/03/2010";3;"Tuesday";30;89;"Weekday";13;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100331;"2010-03-31";"2010/03/31";"03/31/2010";"31/03/2010";4;"Wednesday";31;90;"Weekday";13;"March";3;"Y";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
20100401;"2010-04-01";"2010/04/01";"04/01/2010";"01/04/2010";5;"Thursday";1;91;"Weekday";13;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100402;"2010-04-02";"2010/04/02";"04/02/2010";"02/04/2010";6;"Friday";2;92;"Weekday";13;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100403;"2010-04-03";"2010/04/03";"04/03/2010";"03/04/2010";7;"Saturday";3;93;"Weekend";13;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100404;"2010-04-04";"2010/04/04";"04/04/2010";"04/04/2010";1;"Sunday";4;94;"Weekend";13;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100405;"2010-04-05";"2010/04/05";"04/05/2010";"05/04/2010";2;"Monday";5;95;"Weekday";14;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100406;"2010-04-06";"2010/04/06";"04/06/2010";"06/04/2010";3;"Tuesday";6;96;"Weekday";14;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100407;"2010-04-07";"2010/04/07";"04/07/2010";"07/04/2010";4;"Wednesday";7;97;"Weekday";14;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100408;"2010-04-08";"2010/04/08";"04/08/2010";"08/04/2010";5;"Thursday";8;98;"Weekday";14;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100409;"2010-04-09";"2010/04/09";"04/09/2010";"09/04/2010";6;"Friday";9;99;"Weekday";14;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100410;"2010-04-10";"2010/04/10";"04/10/2010";"10/04/2010";7;"Saturday";10;100;"Weekend";14;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100411;"2010-04-11";"2010/04/11";"04/11/2010";"11/04/2010";1;"Sunday";11;101;"Weekend";14;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100412;"2010-04-12";"2010/04/12";"04/12/2010";"12/04/2010";2;"Monday";12;102;"Weekday";15;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100413;"2010-04-13";"2010/04/13";"04/13/2010";"13/04/2010";3;"Tuesday";13;103;"Weekday";15;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100414;"2010-04-14";"2010/04/14";"04/14/2010";"14/04/2010";4;"Wednesday";14;104;"Weekday";15;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100415;"2010-04-15";"2010/04/15";"04/15/2010";"15/04/2010";5;"Thursday";15;105;"Weekday";15;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100416;"2010-04-16";"2010/04/16";"04/16/2010";"16/04/2010";6;"Friday";16;106;"Weekday";15;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100417;"2010-04-17";"2010/04/17";"04/17/2010";"17/04/2010";7;"Saturday";17;107;"Weekend";15;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100418;"2010-04-18";"2010/04/18";"04/18/2010";"18/04/2010";1;"Sunday";18;108;"Weekend";15;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100419;"2010-04-19";"2010/04/19";"04/19/2010";"19/04/2010";2;"Monday";19;109;"Weekday";16;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100420;"2010-04-20";"2010/04/20";"04/20/2010";"20/04/2010";3;"Tuesday";20;110;"Weekday";16;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100421;"2010-04-21";"2010/04/21";"04/21/2010";"21/04/2010";4;"Wednesday";21;111;"Weekday";16;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100422;"2010-04-22";"2010/04/22";"04/22/2010";"22/04/2010";5;"Thursday";22;112;"Weekday";16;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100423;"2010-04-23";"2010/04/23";"04/23/2010";"23/04/2010";6;"Friday";23;113;"Weekday";16;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100424;"2010-04-24";"2010/04/24";"04/24/2010";"24/04/2010";7;"Saturday";24;114;"Weekend";16;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100425;"2010-04-25";"2010/04/25";"04/25/2010";"25/04/2010";1;"Sunday";25;115;"Weekend";16;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100426;"2010-04-26";"2010/04/26";"04/26/2010";"26/04/2010";2;"Monday";26;116;"Weekday";17;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100427;"2010-04-27";"2010/04/27";"04/27/2010";"27/04/2010";3;"Tuesday";27;117;"Weekday";17;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100428;"2010-04-28";"2010/04/28";"04/28/2010";"28/04/2010";4;"Wednesday";28;118;"Weekday";17;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100429;"2010-04-29";"2010/04/29";"04/29/2010";"29/04/2010";5;"Thursday";29;119;"Weekday";17;"April";4;"N";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100430;"2010-04-30";"2010/04/30";"04/30/2010";"30/04/2010";6;"Friday";30;120;"Weekday";17;"April";4;"Y";2;2010;"2010-04";"2010Q2";10;4;2010;"2010-10";"2010Q4"
20100501;"2010-05-01";"2010/05/01";"05/01/2010";"01/05/2010";7;"Saturday";1;121;"Weekend";17;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100502;"2010-05-02";"2010/05/02";"05/02/2010";"02/05/2010";1;"Sunday";2;122;"Weekend";17;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100503;"2010-05-03";"2010/05/03";"05/03/2010";"03/05/2010";2;"Monday";3;123;"Weekday";18;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100504;"2010-05-04";"2010/05/04";"05/04/2010";"04/05/2010";3;"Tuesday";4;124;"Weekday";18;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100505;"2010-05-05";"2010/05/05";"05/05/2010";"05/05/2010";4;"Wednesday";5;125;"Weekday";18;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100506;"2010-05-06";"2010/05/06";"05/06/2010";"06/05/2010";5;"Thursday";6;126;"Weekday";18;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100507;"2010-05-07";"2010/05/07";"05/07/2010";"07/05/2010";6;"Friday";7;127;"Weekday";18;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100508;"2010-05-08";"2010/05/08";"05/08/2010";"08/05/2010";7;"Saturday";8;128;"Weekend";18;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100509;"2010-05-09";"2010/05/09";"05/09/2010";"09/05/2010";1;"Sunday";9;129;"Weekend";18;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100510;"2010-05-10";"2010/05/10";"05/10/2010";"10/05/2010";2;"Monday";10;130;"Weekday";19;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100511;"2010-05-11";"2010/05/11";"05/11/2010";"11/05/2010";3;"Tuesday";11;131;"Weekday";19;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
20100512;"2010-05-12";"2010/05/12";"05/12/2010";"12/05/2010";4;"Wednesday";12;132;"Weekday";19;"May";5;"N";2;2010;"2010-05";"2010Q2";11;4;2010;"2010-11";"2010Q4"
